"lemma","custom_pos","Frequency"
"to","conj",2
"to","prep",57
"ordinary","adj",1
"reader","n",1
"of","adv",2
"of","conj",9
"of","prep",186
"newspaper","n",1
"be","n",1
"be","v",181
"represent","v",1
"by","conj",5
"by","prep",24
"varying","v",1
"selection","n",2
"sensational","adj",1
"triumph","n",4
"such","adj",8
"as","adv",10
"as","conj",18
"as","prep",27
"wireless","adj",2
"telegraphy","n",3
"and","conj",115
"aeroplane","n",1
"activity","n",3
"marvel","n",1
"modern","adj",2
"alchemy","n",1
"it","pron",55
"aspect","n",8
"science","n",28
"science","v",1
"that","adv",1
"that","conj",26
"that","pron",21
"i","pron",22
"wish","n",1
"wish","v",4
"speak","v",3
"in","adv",1
"in","conj",6
"in","prep",75
"consist","n",1
"detach","v",2
"up","adv",1
"up","prep",3
"date","n",2
"date","v",1
"fragment","n",1
"interes","adj",1
"only","adv",8
"until","conj",5
"they","pron",23
"replace","v",1
"something","pron",4
"newer","adj",1
"more","adj",3
"more","adv",6
"display","v",2
"nothing","pron",4
"system","n",4
"patiently","adv",1
"construct","v",1
"knowledge","n",6
"out","prep",4
"which","pron",53
"almost","adv",8
"casual","adj",1
"incident","n",1
"have","v",28
"come","v",2
"practically","adv",1
"useful","adj",5
"result","n",4
"interest","n",8
"man","n",22
"street","n",1
"increase","adv",1
"increase","v",3
"command","n",1
"over","adv",1
"over","prep",2
"force","n",2
"nature","n",8
"derive","v",4
"from","conj",1
"from","prep",18
"undoubtedly","adv",1
"amply","adv",1
"sufficient","adj",1
"reason","n",8
"for","conj",2
"for","prep",15
"encourage","v",1
"scientific","adj",20
"research","n",1
"but","conj",35
"so","adv",14
"often","adv",3
"urge","v",1
"easily","adv",4
"appreciate","v",1
"other","adj",5
"other","n",1
"my","pron",5
"mind","interj",1
"mind","n",10
"quite","adv",5
"important","adj",4
"apt","adj",3
"apt","v",2
"overlook","v",1
"with","prep",19
"especially","adv",3
"intrinsic","adj",2
"value","n",6
"habit","n",8
"form","n",1
"form","v",3
"we","pron",43
"outlook","n",11
"on","adv",1
"on","prep",12
"world","n",10
"shall","v",4
"concerned","adj",3
"what","pron",15
"follow","v",2
"instance","n",1
"will","v",9
"serve","v",1
"illustrate","v",1
"difference","n",1
"between","prep",1
"point","n",2
"view","n",4
"serious","adj",2
"intellectual","adj",5
"labour","n",2
"require","v",5
"possibility","n",2
"invention","n",1
"due","prep",1
"alternating","v",1
"layer","n",1
"experiment","n",1
"theory","n",5
"build","v",2
"electromagnetism","n",1
"demonstrate","v",1
"identity","n",1
"light","n",1
"electromagnetic","adj",1
"wave","n",1
"discover","v",3
"profound","adj",1
"bring","v",1
"together","adv",1
"unify","v",1
"endless","adj",1
"variety","n",3
"apparently","adv",1
"phenomena","n",1
"cumulative","adj",2
"mental","adj",7
"power","n",1
"can","v",19
"afford","v",1
"delight","n",2
"generous","adj",1
"spirit","n",6
"mechanical","adj",1
"detail","n",1
"remain","v",3
"adjust","v",1
"order","n",2
"utilise","v",1
"discoveries","n",3
"practical","adj",1
"demand","v",1
"doubt","n",1
"doubt","prep",1
"very","adv",6
"considerable","adj",1
"ingenuity","n",1
"broad","adj",1
"sweep","n",1
"universality","n",1
"could","v",1
"give","v",6
"object","n",2
"disinterested","adj",2
"contemplation","n",1
"training","n",1
"training","v",1
"well","adj",1
"well","adv",3
"inform","v",1
"impersonal","adj",2
"constitute","adj",1
"constitute","v",2
"culture","n",5
"good","adj",1
"sense","n",9
"this","pron",7
"much","adj",2
"much","adv",1
"misused","v",1
"word","n",4
"seem","v",8
"generally","adv",1
"hold","v",1
"indisputable","adj",1
"literary","adj",1
"literary","n",1
"education","n",20
"superior","adj",2
"base","v",2
"even","adv",7
"warmest","adj",1
"advocate","n",1
"rest","v",1
"claim","n",1
"contention","n",1
"ought","v",2
"sacrifice","v",2
"utility","n",2
"who","pron",5
"when","adv",5
"associate","v",2
"learn","v",4
"classic","n",2
"admit","v",2
"merely","adv",4
"politely","adv",1
"sincerely","adv",1
"certain","adj",10
"inferiority","n",2
"side","n",1
"compensate","v",1
"doubtless","adv",1
"service","n",2
"render","n",1
"render","v",1
"humanity","n",1
"no","adv",4
"no","n",1
"less","adv",1
"real","adj",2
"long","adv",1
"attitude","n",7
"exist","v",1
"among","prep",1
"tend","v",3
"verify","v",1
"itself","pron",5
"intrinsically","adv",1
"valuable","adj",2
"little","adj",2
"little","n",1
"attempt","n",2
"attempt","v",3
"make","v",7
"preserve","v",2
"leisurely","adv",1
"systematic","adj",1
"survey","n",1
"finer","n",1
"quality","n",3
"nourished","v",2
"if","conj",6
"there","adv",1
"there","pron",7
"present","adj",6
"fact","n",4
"suppose","v",3
"educational","adj",2
"believe","v",2
"not","adv",10
"not","conj",1
"fault","n",2
"teach","v",2
"full","adj",3
"realise","v",1
"those","pron",3
"its","pron",14
"capacity","n",2
"produce","v",1
"habits","n",1
"highest","adj",2
"excellence","n",2
"would","v",4
"at","adv",1
"at","prep",7
"least","adv",1
"great","adj",5
"literature","n",4
"particularly","adv",1
"latin","adj",2
"say","v",6
"whatever","pron",1
"disparage","v",1
"classical","adj",2
"myself","pron",1
"enjoy","v",1
"benefit","n",1
"author","n",1
"wholly","adv",5
"translation","n",1
"firmly","adv",1
"persuade","v",1
