"V1","V2"
"Ancient Greek",1
"Arabic",3
"Armenian",26
"Avestan",57
"Catalan",3
"Celtic",1
"Chinese",4
"Church Slavonic",378
"Danish",220
"Dutch",1068
"Egyptian",1
"Finnish",2
"French",938
"Frisian",1038
"Ga",23
"German",1492
"Germanic",1367
"Gothic",650
"Greek",507
"Hebrew",14
"Hittite",67
"Icelandic",4
"Indic",1
"Indo-European",23
"Irish",312
"Italian",87
"Japanese",5
"Latin",1486
"Lithuanian",375
"Low German",8
"Mari",8
"Mende",2
"Middle Dutch",461
"Middle English",1125
"Middle High German",42
"Middle Irish",2
"Modern Greek",1
"North American Indian",5
"Norwegian",3
"Ojibwa",5
"Old Church Slavonic",378
"Old English",1605
"Old French",780
"Old High German",850
"Old Irish",299
"Old Norse",891
"Old Persian",54
"Old Provençal",3
"Persian",58
"Portuguese",17
"Provençal",6
"Russian",209
"Sanskrit",137
"Scots",1
"Slavic",26
"Spanish",62
"Swedish",163
"Welsh",47
"Yiddish",3
