"V1","V2","V3"
"Ancient Greek","French",1
"Ancient Greek","Greek",1
"Ancient Greek","Latin",1
"Arabic","Egyptian",1
"Arabic","French",3
"Arabic","Greek",1
"Arabic","Italian",2
"Arabic","Latin",3
"Arabic","Old French",3
"Arabic","Spanish",2
"Armenian","Avestan",3
"Armenian","Church Slavonic",4
"Armenian","Danish",23
"Armenian","Dutch",26
"Armenian","Frisian",26
"Armenian","German",26
"Armenian","Germanic",26
"Armenian","Gothic",25
"Armenian","Greek",25
"Armenian","Indo-European",1
"Armenian","Irish",22
"Armenian","Latin",25
"Armenian","Lithuanian",23
"Armenian","Middle Dutch",4
"Armenian","Middle English",26
"Armenian","Old Church Slavonic",4
"Armenian","Old English",26
"Armenian","Old High German",26
"Armenian","Old Irish",22
"Armenian","Old Norse",25
"Armenian","Russian",3
"Armenian","Sanskrit",26
"Armenian","Slavic",22
"Armenian","Swedish",22
"Armenian","Welsh",22
"Avestan","Church Slavonic",46
"Avestan","Dutch",50
"Avestan","French",24
"Avestan","Frisian",18
"Avestan","German",53
"Avestan","Germanic",52
"Avestan","Gothic",51
"Avestan","Greek",31
"Avestan","Hittite",8
"Avestan","Irish",14
"Avestan","Latin",54
"Avestan","Lithuanian",25
"Avestan","Middle Dutch",26
"Avestan","Middle English",36
"Avestan","Old Church Slavonic",46
"Avestan","Old English",53
"Avestan","Old French",5
"Avestan","Old High German",13
"Avestan","Old Irish",14
"Avestan","Old Norse",40
"Avestan","Old Persian",8
"Avestan","Persian",8
"Avestan","Russian",4
"Avestan","Sanskrit",40
"Avestan","Welsh",6
"Catalan","Danish",2
"Catalan","Dutch",2
"Catalan","French",3
"Catalan","German",2
"Catalan","Greek",2
"Catalan","Italian",3
"Catalan","Latin",3
"Catalan","Middle Dutch",2
"Catalan","Norwegian",2
"Catalan","Old English",2
"Catalan","Old French",3
"Catalan","Portuguese",1
"Catalan","Provençal",1
"Catalan","Spanish",3
"Celtic","Dutch",1
"Celtic","Frisian",1
"Celtic","German",1
"Celtic","Germanic",1
"Celtic","Gothic",1
"Celtic","Middle Dutch",1
"Celtic","Old English",1
"Celtic","Old High German",1
"Celtic","Welsh",1
"Chinese","Frisian",4
"Chinese","German",4
"Chinese","Germanic",4
"Chinese","Gothic",4
"Chinese","Middle English",4
"Chinese","Old English",4
"Chinese","Old High German",4
"Chinese","Old Norse",4
"Church Slavonic","Danish",55
"Church Slavonic","Dutch",178
"Church Slavonic","French",33
"Church Slavonic","Frisian",146
"Church Slavonic","Ga",6
"Church Slavonic","German",369
"Church Slavonic","Germanic",368
"Church Slavonic","Gothic",112
"Church Slavonic","Greek",286
"Church Slavonic","Hebrew",6
"Church Slavonic","Hittite",60
"Church Slavonic","Indo-European",11
"Church Slavonic","Irish",268
"Church Slavonic","Italian",1
"Church Slavonic","Latin",324
"Church Slavonic","Lithuanian",329
"Church Slavonic","Middle Dutch",41
"Church Slavonic","Middle English",287
"Church Slavonic","Old Church Slavonic",378
"Church Slavonic","Old English",372
"Church Slavonic","Old French",8
"Church Slavonic","Old High German",329
"Church Slavonic","Old Irish",258
"Church Slavonic","Old Norse",107
"Church Slavonic","Old Persian",51
"Church Slavonic","Persian",54
"Church Slavonic","Russian",191
"Church Slavonic","Sanskrit",86
"Church Slavonic","Spanish",1
"Church Slavonic","Swedish",4
"Church Slavonic","Welsh",7
"Danish","Dutch",180
"Danish","French",4
"Danish","Frisian",165
"Danish","German",216
"Danish","Germanic",202
"Danish","Gothic",147
"Danish","Greek",47
"Danish","Hittite",52
"Danish","Indo-European",9
"Danish","Irish",33
"Danish","Italian",4
"Danish","Latin",70
"Danish","Lithuanian",80
"Danish","Middle Dutch",76
"Danish","Middle English",101
"Danish","Norwegian",3
"Danish","Old Church Slavonic",55
"Danish","Old English",216
"Danish","Old French",4
"Danish","Old High German",151
"Danish","Old Irish",33
"Danish","Old Norse",174
"Danish","Old Persian",43
"Danish","Persian",46
"Danish","Portuguese",1
"Danish","Russian",4
"Danish","Sanskrit",70
"Danish","Slavic",22
"Danish","Spanish",4
"Danish","Swedish",92
"Danish","Welsh",25
"Danish","Yiddish",1
"Dutch","Finnish",2
"Dutch","French",223
"Dutch","Frisian",980
"Dutch","Ga",5
"Dutch","German",1062
"Dutch","Germanic",1021
"Dutch","Gothic",531
"Dutch","Greek",155
"Dutch","Hittite",60
"Dutch","Icelandic",4
"Dutch","Indo-European",18
"Dutch","Irish",114
"Dutch","Italian",6
"Dutch","Latin",417
"Dutch","Lithuanian",179
"Dutch","Low German",7
"Dutch","Mari",7
"Dutch","Middle Dutch",461
"Dutch","Middle English",713
"Dutch","Middle High German",9
"Dutch","North American Indian",5
"Dutch","Norwegian",2
"Dutch","Ojibwa",5
"Dutch","Old Church Slavonic",178
"Dutch","Old English",1061
"Dutch","Old French",193
"Dutch","Old High German",598
"Dutch","Old Irish",104
"Dutch","Old Norse",766
"Dutch","Old Persian",54
"Dutch","Persian",58
"Dutch","Portuguese",3
"Dutch","Russian",9
"Dutch","Sanskrit",114
"Dutch","Scots",1
"Dutch","Slavic",26
"Dutch","Spanish",10
"Dutch","Swedish",135
"Dutch","Welsh",35
"Egyptian","French",1
"Egyptian","Greek",1
"Egyptian","Latin",1
"Egyptian","Old French",1
"Finnish","Frisian",2
"Finnish","German",2
"Finnish","Germanic",2
"Finnish","Gothic",2
"Finnish","Greek",2
"Finnish","Indo-European",2
"Finnish","Middle Dutch",2
"Finnish","Middle English",2
"Finnish","Old English",2
"Finnish","Old High German",2
"Finnish","Old Norse",2
"Finnish","Sanskrit",2
"Finnish","Swedish",2
"Finnish","Welsh",2
"French","Frisian",194
"French","Ga",18
"French","German",278
"French","Germanic",235
"French","Gothic",52
"French","Greek",125
"French","Hebrew",14
"French","Hittite",3
"French","Icelandic",4
"French","Indo-European",1
"French","Irish",11
"French","Italian",76
"French","Latin",853
"French","Lithuanian",11
"French","Mari",1
"French","Middle Dutch",29
"French","Middle English",324
"French","Middle Irish",1
"French","Norwegian",2
"French","Old Church Slavonic",33
"French","Old English",314
"French","Old French",780
"French","Old High German",33
"French","Old Irish",10
"French","Old Norse",214
"French","Old Provençal",3
"French","Portuguese",17
"French","Provençal",6
"French","Russian",2
"French","Sanskrit",34
"French","Scots",1
