"V1","V2","V3","V4"
"Ancient Greek","French","Greek",1
"Ancient Greek","French","Latin",1
"Ancient Greek","Greek","Latin",1
"Arabic","Egyptian","French",1
"Arabic","Egyptian","Greek",1
"Arabic","Egyptian","Latin",1
"Arabic","Egyptian","Old French",1
"Arabic","French","Greek",1
"Arabic","French","Italian",2
"Arabic","French","Latin",3
"Arabic","French","Old French",3
"Arabic","French","Spanish",2
"Arabic","Greek","Latin",1
"Arabic","Greek","Old French",1
"Arabic","Italian","Latin",2
"Arabic","Italian","Old French",2
"Arabic","Italian","Spanish",2
"Arabic","Latin","Old French",3
"Arabic","Latin","Spanish",2
"Arabic","Old French","Spanish",2
"Armenian","Avestan","Church Slavonic",3
"Armenian","Avestan","Dutch",3
"Armenian","Avestan","Frisian",3
"Armenian","Avestan","German",3
"Armenian","Avestan","Germanic",3
"Armenian","Avestan","Gothic",3
"Armenian","Avestan","Greek",3
"Armenian","Avestan","Latin",3
"Armenian","Avestan","Middle Dutch",3
"Armenian","Avestan","Middle English",3
"Armenian","Avestan","Old Church Slavonic",3
"Armenian","Avestan","Old English",3
"Armenian","Avestan","Old High German",3
"Armenian","Avestan","Old Norse",3
"Armenian","Avestan","Russian",3
"Armenian","Avestan","Sanskrit",3
"Armenian","Church Slavonic","Danish",1
"Armenian","Church Slavonic","Dutch",4
"Armenian","Church Slavonic","Frisian",4
"Armenian","Church Slavonic","German",4
"Armenian","Church Slavonic","Germanic",4
"Armenian","Church Slavonic","Gothic",3
"Armenian","Church Slavonic","Greek",3
"Armenian","Church Slavonic","Indo-European",1
"Armenian","Church Slavonic","Latin",3
"Armenian","Church Slavonic","Lithuanian",1
"Armenian","Church Slavonic","Middle Dutch",4
"Armenian","Church Slavonic","Middle English",4
"Armenian","Church Slavonic","Old Church Slavonic",4
"Armenian","Church Slavonic","Old English",4
"Armenian","Church Slavonic","Old High German",4
"Armenian","Church Slavonic","Old Norse",3
"Armenian","Church Slavonic","Russian",3
"Armenian","Church Slavonic","Sanskrit",4
"Armenian","Danish","Dutch",23
"Armenian","Danish","Frisian",23
"Armenian","Danish","German",23
"Armenian","Danish","Germanic",23
"Armenian","Danish","Gothic",22
"Armenian","Danish","Greek",22
"Armenian","Danish","Indo-European",1
"Armenian","Danish","Irish",22
"Armenian","Danish","Latin",22
"Armenian","Danish","Lithuanian",23
"Armenian","Danish","Middle Dutch",1
"Armenian","Danish","Middle English",23
"Armenian","Danish","Old Church Slavonic",1
"Armenian","Danish","Old English",23
"Armenian","Danish","Old High German",23
"Armenian","Danish","Old Irish",22
"Armenian","Danish","Old Norse",22
"Armenian","Danish","Sanskrit",23
"Armenian","Danish","Slavic",22
"Armenian","Danish","Swedish",22
"Armenian","Danish","Welsh",22
"Armenian","Dutch","Frisian",26
"Armenian","Dutch","German",26
"Armenian","Dutch","Germanic",26
"Armenian","Dutch","Gothic",25
"Armenian","Dutch","Greek",25
"Armenian","Dutch","Indo-European",1
"Armenian","Dutch","Irish",22
"Armenian","Dutch","Latin",25
"Armenian","Dutch","Lithuanian",23
"Armenian","Dutch","Middle Dutch",4
"Armenian","Dutch","Middle English",26
"Armenian","Dutch","Old Church Slavonic",4
"Armenian","Dutch","Old English",26
"Armenian","Dutch","Old High German",26
"Armenian","Dutch","Old Irish",22
"Armenian","Dutch","Old Norse",25
"Armenian","Dutch","Russian",3
"Armenian","Dutch","Sanskrit",26
"Armenian","Dutch","Slavic",22
"Armenian","Dutch","Swedish",22
"Armenian","Dutch","Welsh",22
"Armenian","Frisian","German",26
"Armenian","Frisian","Germanic",26
"Armenian","Frisian","Gothic",25
"Armenian","Frisian","Greek",25
"Armenian","Frisian","Indo-European",1
"Armenian","Frisian","Irish",22
"Armenian","Frisian","Latin",25
