"","Ancient Greek","Arabic","Armenian","Avestan","Catalan","Celtic","Chinese","Church Slavonic","Danish","Dutch","Egyptian","Finnish","French","Frisian","Ga","German","Germanic","Gothic","Greek","Hebrew","Hittite","Icelandic","Indic","Indo-European","Irish","Italian","Japanese","Latin","Lithuanian","Low German","Mari","Mende","Middle Dutch","Middle English","Middle High German","Middle Irish","Modern Greek","North American Indian","Norwegian","Ojibwa","Old Church Slavonic","Old English","Old French","Old High German","Old Irish","Old Norse","Old Persian","Old Provençal","Persian","Portuguese","Provençal","Russian","Sanskrit","Scots","Slavic","Spanish","Swedish","Welsh","Yiddish"
"Ancient Greek",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arabic",0,3,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Armenian",0,0,26,3,0,0,0,4,23,26,0,0,0,26,0,26,26,25,25,0,0,0,0,1,22,0,0,25,23,0,0,0,4,26,0,0,0,0,0,0,4,26,0,26,22,25,0,0,0,0,0,3,26,0,22,0,22,22,0
"Avestan",0,0,3,57,0,0,0,46,0,50,0,0,24,18,0,53,52,51,31,0,8,0,0,0,14,0,0,54,25,0,0,0,26,36,0,0,0,0,0,0,46,53,5,13,14,40,8,0,8,0,0,4,40,0,0,0,0,6,0
"Catalan",0,0,0,0,3,0,0,0,2,2,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,3,0,3,0,0,0,0,2,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0
"Celtic",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Chinese",0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Church Slavonic",0,0,4,46,0,0,0,378,55,178,0,0,33,146,6,369,368,112,286,6,60,0,0,11,268,1,0,324,329,0,0,0,41,287,0,0,0,0,0,0,378,372,8,329,258,107,51,0,54,0,0,191,86,0,0,1,4,7,0
"Danish",0,0,23,0,2,0,0,55,220,180,0,0,4,165,0,216,202,147,47,0,52,0,0,9,33,4,0,70,80,0,0,0,76,101,0,0,0,0,3,0,55,216,4,151,33,174,43,0,46,1,0,4,70,0,22,4,92,25,1
"Dutch",0,0,26,50,2,1,0,178,180,1068,0,2,223,980,5,1062,1021,531,155,0,60,4,0,18,114,6,0,417,179,7,7,0,461,713,9,0,0,5,2,5,178,1061,193,598,104,766,54,0,58,3,0,9,114,1,26,10,135,35,0
"Egyptian",0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
