"Identifier","Count"
"cat_n",29
"wine_n",27
"six_n",26
"moon_n",25
"sister_n",25
"naked_adj",24
"third_adj",24
"third_n",24
"brother_n",23
"new_adj",23
"nine_n",23
"wolf_n",23
"daughter_n",22
"gold_n",22
"seven_n",22
"snow_n",22
"son_n",22
"sweat_n",22
"dream_n",21
"rose_n",21
"ghost_n",20
"man_n",20
"need_n",20
"now_adv",20
"oil_n",20
"proud_adj",20
"silk_n",20
"wool_n",20
"cup_n",19
"kiss_v",19
"mouse_n",19
"rich_adj",19
"silver_n",19
"thou_pron",19
"three_n",19
"young_adj",19
"enemy_n",18
"find_v",18
"horse_n",18
"hundred_n",18
"neck_n",18
"night_n",18
"otter_n",18
"smith_n",18
"staff_n",18
"thousand_n",18
"birch_n",17
"brow_n",17
"clay_n",17
"fever_n",17
"hew_v",17
"iron_n",17
"listen_v",17
"mane_n",17
"nail_n",17
"rat_n",17
"say_v",17
"small_adj",17
"tame_adj",17
"uncle_n",17
"warm_adj",17
"weather_n",17
"apple_n",16
"bed_n",16
"beer_n",16
"crock_n",16
"deep_adj",16
"dog_n",16
"egg_n",16
"father_n",16
"fen_n",16
"folk_n",16
"good_adj",16
"harry_v",16
"holly_n",16
"honey_n",16
"laugh_v",16
"law_n",16
"leaf_n",16
"nest_n",16
"onion_n",16
"out_adv",16
"shirt_n",16
"slave_n",16
"spill_v",16
"we_pron",16
"year_n",16
"ask_v",15
"boy_n",15
"drink_v",15
"heron_n",15
"linen_n",15
"long_adj",15
"many_adj",15
"meat_n",15
"mirror_n",15
"more_adj",15
"needle_n",15
"oak_n",15
"oh_interj",15
"ox_n",15
"penny_n",15
"room_n",15
"short_adj",15
"slime_n",15
"smile_v",15
"soap_n",15
"song_n",15
"sorrow_n",15
"stone_n",15
"street_n",15
"town_n",15
"world_n",15
"yew_n",15
"yield_v",15
"adder_n",14
"arc_n",14
"beard_n",14
"blood_n",14
"bottom_n",14
"broth_n",14
"carpenter_n",14
"chest_n",14
"cousin_n",14
"dare_v",14
"deer_n",14
"defend_v",14
"die_v",14
"far_adv",14
"fir_n",14
"kettle_n",14
"kin_n",14
"king_n",14
"lily_n",14
"loud_adj",14
"lung_n",14
"oath_n",14
"poison_n",14
"sand_n",14
"ship_n",14
"slay_v",14
"so_adv",14
"so_conj",14
"speed_n",14
"stair_n",14
"stamp_v",14
"stick_v",14
"stiff_adj",14
"sunder_v",14
"sweet_adj",14
"thorn_n",14
"to_prep",14
"white_adj",14
"wife_n",14
"with_prep",14
"withy_n",14
"write_v",14
"yon_adj",14
"be_v",13
"bean_n",13
"bear_n",13
"cross_n",13
"doughty_adj",13
"dragon_n",13
"enough_adj",13
"fat_adj",13
"fight_v",13
"foot_n",13
"gable_n",13
"gang_n",13
"gay_adj",13
"god_n",13
"grab_v",13
"hatchet_n",13
"hose_n",13
"left_adj",13
"loaf_n",13
"marrow_n",13
"milk_n",13
"nephew_n",13
"old_adj",13
"other_adj",13
"place_n",13
"pluck_v",13
"ride_v",13
"rune_n",13
"score_n",13
"sea_n",13
"see_v",13
"seek_v",13
"shall_v",13
"shoe_n",13
"sinew_n",13
"smear_v",13
"spider_n",13
"suck_v",13
"swine_n",13
"tea_n",13
"tell_v",13
"thunder_n",13
"week_n",13
"well_adv",13
"whether_conj",13
"winter_n",13
"yellow_adj",13
"acre_n",12
"alder_n",12
"back_n",12
"bad_adj",12
"brown_adj",12
"coast_n",12
"coney_n",12
"dance_v",12
"dart_n",12
"dead_adj",12
"dull_adj",12
"four_n",12
"fox_n",12
"freeze_v",12
"garden_n",12
"grim_adj",12
"hammer_n",12
"hand_n",12
"hem_n",12
"hurt_v",12
"is_v",12
"joke_n",12
"leather_n",12
"lip_n",12
"marshal_n",12
"mile_n",12
"mist_n",12
"month_n",12
"mud_n",12
"path_n",12
"quail_n",12
"raven_n",12
"reek_n",12
"sallow_n",12
"snake_n",12
"sore_adj",12
"sour_adj",12
"speak_v",12
"spoon_n",12
"stead_n",12
"stool_n",12
"strew_v",12
"swear_v",12
"table_n",12
"thin_adj",12
"thing_n",12
"tunic_n",12
"wall_n",12
"wield_v",12
"wight_n",12
"wood_n",12
"worm_n",12
"yellow_n",12
"autumn_n",11
"bear_v",11
