"Identifier","Frequency","Languages"
"book_n",48,"Middle English"
"book_n",48,"Old English"
"book_n",48,"French"
"book_n",48,"German"
"book_n",48,"Germanic"
"book_n",48,"Latin"
"book_n",48,"Sanskrit"
"book_v",1,"Middle English"
"book_v",1,"Old English"
"be_v",18050,"Middle English"
"be_v",18050,"Old English"
"be_v",18050,"German"
"be_v",18050,"Old High German"
"be_v",18050,"Germanic"
"be_v",18050,"Greek"
"be_v",18050,"Irish"
"be_v",18050,"Old Irish"
"be_v",18050,"Latin"
"be_v",18050,"Lithuanian"
"be_v",18050,"Church Slavonic"
"be_v",18050,"Old Church Slavonic"
"be_v",18050,"Russian"
"with_prep",2953,"Avestan"
"with_prep",2953,"Dutch"
"with_prep",2953,"Middle Dutch"
"with_prep",2953,"Middle English"
"with_prep",2953,"Old English"
"with_prep",2953,"French"
"with_prep",2953,"German"
"with_prep",2953,"Germanic"
"with_prep",2953,"Gothic"
"with_prep",2953,"Latin"
"with_prep",2953,"Old Norse"
"with_prep",2953,"Church Slavonic"
"with_prep",2953,"Old Church Slavonic"
"with_prep",2953,"Sanskrit"
"and_conj",19886,"Dutch"
"and_conj",19886,"Middle Dutch"
"and_conj",19886,"Old English"
"and_conj",19886,"Frisian"
"and_conj",19886,"German"
"and_conj",19886,"Old High German"
"and_conj",19886,"Germanic"
"and_conj",19886,"Old Norse"
"from_prep",2005,"Old English"
"from_prep",2005,"German"
"from_prep",2005,"Old High German"
"from_prep",2005,"Germanic"
"from_prep",2005,"Gothic"
"from_prep",2005,"Old Norse"
"its_pron",438,"Middle English"
"reader_n",2,"Dutch"
"reader_n",2,"Old English"
"reader_n",2,"German"
"reader_n",2,"Old High German"
"discover_v",48,"Middle English"
"discover_v",48,"French"
"discover_v",48,"Old French"
"discover_v",48,"Latin"
"much_adj",214,"Middle English"
"much_adj",214,"Old English"
"much_adj",214,"German"
"much_adj",214,"Germanic"
"of_prep",12552,"Dutch"
"of_prep",12552,"Middle English"
"of_prep",12552,"Old English"
"of_prep",12552,"French"
"of_prep",12552,"Old French"
"of_prep",12552,"Frisian"
"of_prep",12552,"German"
"of_prep",12552,"Germanic"
"of_prep",12552,"Latin"
"of_prep",12552,"Old Norse"
"they_pron",8878,"Danish"
"they_pron",8878,"Old English"
"they_pron",8878,"German"
"they_pron",8878,"Germanic"
"they_pron",8878,"Old Norse"
"they_pron",8878,"Swedish"
"character_n",11,"French"
"character_n",11,"Old French"
"character_n",11,"Greek"
"character_n",11,"Latin"
"little_adj",505,"Dutch"
"little_adj",505,"Old English"
"little_adj",505,"French"
"little_adj",505,"German"
"little_adj",505,"Old High German"
"little_adj",505,"Germanic"
"little_n",58,"Old English"
"history_n",44,"Middle English"
"history_n",44,"French"
"history_n",44,"Old French"
"history_n",44,"Greek"
"history_n",44,"Latin"
"further_adj",57,"Middle English"
"further_adj",57,"Old English"
"further_adj",57,"Frisian"
"further_adj",57,"German"
"further_adv",108,"Old English"
"further_adv",108,"German"
"further_adv",108,"Germanic"
"further_adv",108,"Greek"
"information_n",12,"French"
"information_n",12,"Old French"
"information_n",12,"Latin"
"also_adv",235,"Dutch"
"also_adv",235,"Middle English"
"also_adv",235,"Old English"
"also_adv",235,"German"
"find_v",767,"Armenian"
"find_v",767,"Avestan"
"find_v",767,"Dutch"
"find_v",767,"Middle Dutch"
"find_v",767,"Middle English"
"find_v",767,"Old English"
"find_v",767,"Frisian"
"find_v",767,"German"
"find_v",767,"Old High German"
"find_v",767,"Germanic"
"find_v",767,"Gothic"
"find_v",767,"Greek"
"find_v",767,"Latin"
"find_v",767,"Old Norse"
"find_v",767,"Church Slavonic"
"find_v",767,"Old Church Slavonic"
"find_v",767,"Russian"
"find_v",767,"Sanskrit"
"in_adv",126,"Dutch"
"in_adv",126,"Middle English"
"in_adv",126,"Old English"
"in_adv",126,"Frisian"
"in_adv",126,"German"
"in_adv",126,"Germanic"
"in_adv",126,"Gothic"
"in_adv",126,"Old Norse"
"in_prep",7035,"Dutch"
"in_prep",7035,"Middle English"
"in_prep",7035,"Old English"
"in_prep",7035,"Frisian"
"in_prep",7035,"German"
"in_prep",7035,"Germanic"
"in_prep",7035,"Gothic"
"in_prep",7035,"Old Norse"
"selection_n",5,"French"
"selection_n",5,"Latin"
"that_pron",2757,"Dutch"
"that_pron",2757,"Middle Dutch"
"that_pron",2757,"Middle English"
"that_pron",2757,"Old English"
"that_pron",2757,"Frisian"
"that_pron",2757,"German"
"that_pron",2757,"Germanic"
"have_v",6548,"Old English"
"have_v",6548,"Frisian"
"have_v",6548,"German"
"have_v",6548,"Germanic"
"have_v",6548,"Gothic"
"have_v",6548,"Latin"
"have_v",6548,"Old Norse"
"already_adv",271,"Danish"
"already_adv",271,"German"
"already_adv",271,"Norwegian"
"already_adv",271,"Yiddish"
"publish_v",1,"Middle English"
"publish_v",1,"French"
"publish_v",1,"Old French"
"publish_v",1,"Latin"
"under_prep",487,"Avestan"
"under_prep",487,"Dutch"
"under_prep",487,"Old English"
"under_prep",487,"Frisian"
"under_prep",487,"German"
"under_prep",487,"Old High German"
"under_prep",487,"Germanic"
"under_prep",487,"Gothic"
"under_prep",487,"Latin"
"under_prep",487,"Old Norse"
"under_prep",487,"Sanskrit"
"title_n",9,"Old English"
"title_n",9,"French"
"title_n",9,"Old French"
"title_n",9,"Latin"
"derive_v",3,"French"
"derive_v",3,"Old French"
"derive_v",3,"Latin"
"chapter_n",13,"French"
"chapter_n",13,"Old French"
"chapter_n",13,"Latin"
"compose_v",3,"French"
"compose_v",3,"Old French"
"compose_v",3,"Latin"
"by_adv",11,"Dutch"
"by_adv",11,"Middle Dutch"
"by_adv",11,"Middle English"
"by_adv",11,"Old English"
"by_adv",11,"Frisian"
"by_adv",11,"German"
"by_adv",11,"Germanic"
"by_adv",11,"Gothic"
"by_prep",1293,"Dutch"
"by_prep",1293,"Middle Dutch"
"by_prep",1293,"Middle English"
"by_prep",1293,"Old English"
"by_prep",1293,"Frisian"
"by_prep",1293,"German"
"by_prep",1293,"Germanic"
"by_prep",1293,"Gothic"
"himself_pron",410,"Old English"
"first_adj",161,"Danish"
"first_adj",161,"Dutch"
"first_adj",161,"Middle Dutch"
"first_adj",161,"Middle English"
"first_adj",161,"Old English"
"first_adj",161,"Frisian"
"first_adj",161,"German"
"first_adj",161,"Old High German"
"first_adj",161,"Germanic"
"first_adj",161,"Old Norse"
"first_adv",259,"Danish"
"first_adv",259,"Dutch"
"first_adv",259,"Middle Dutch"
"first_adv",259,"Middle English"
"first_adv",259,"Old English"
"first_adv",259,"Frisian"
"first_adv",259,"German"
"first_adv",259,"Old High German"
"first_adv",259,"Germanic"
"first_adv",259,"Old Norse"
"become_v",237,"Dutch"
"become_v",237,"Middle English"
"become_v",237,"Old English"
"become_v",237,"German"
"become_v",237,"Old High German"
"become_v",237,"Germanic"
"become_v",237,"Gothic"
"famous_adj",6,"Old English"
"famous_adj",6,"French"
"famous_adj",6,"Old French"
"famous_adj",6,"Latin"
"world_n",242,"Dutch"
"world_n",242,"Old English"
"world_n",242,"Frisian"
"world_n",242,"German"
"world_n",242,"Old High German"
"world_n",242,"Germanic"
"world_n",242,"Gothic"
"world_n",242,"Greek"
"world_n",242,"Indo-European"
"world_n",242,"Irish"
"world_n",242,"Latin"
"world_n",242,"Lithuanian"
"world_n",242,"Old Norse"
"world_n",242,"Church Slavonic"
"world_n",242,"Old Church Slavonic"
"at_prep",2630,"Dutch"
"at_prep",2630,"Middle English"
"at_prep",2630,"Old English"
"at_prep",2630,"Frisian"
"at_prep",2630,"German"
"at_prep",2630,"Old High German"
"at_prep",2630,"Germanic"
"at_prep",2630,"Gothic"
"at_prep",2630,"Old Norse"
"large_adj",120,"French"
"large_adj",120,"Old French"
"large_adj",120,"Italian"
"large_adj",120,"Latin"
"large_adj",120,"Spanish"
"call_v",379,"Dutch"
"call_v",379,"Middle Dutch"
"call_v",379,"Middle English"
"call_v",379,"Old English"
"call_v",379,"French"
"call_v",379,"German"
"call_v",379,"Old High German"
"call_v",379,"Germanic"
"call_v",379,"Old Norse"
"he_pron",14827,"Dutch"
"he_pron",14827,"Middle Dutch"
"he_pron",14827,"Middle English"
"he_pron",14827,"Old English"
"he_pron",14827,"Frisian"
"he_pron",14827,"German"
"he_pron",14827,"Old High German"
"he_pron",14827,"Germanic"
"there_adv",777,"Dutch"
"there_adv",777,"Middle Dutch"
"there_adv",777,"Old English"
"there_adv",777,"Frisian"
"there_adv",777,"German"
"there_adv",777,"Low German"
"there_adv",777,"Old High German"
"there_adv",777,"Germanic"
"there_adv",777,"Gothic"
"there_adv",777,"Old Norse"
"there_adv",777,"Sanskrit"
"back_adj",3,"Middle English"
"back_adv",874,"Old English"
"back_n",93,"Danish"
"back_n",93,"Dutch"
"back_n",93,"Middle Dutch"
"back_n",93,"Old English"
"back_n",93,"Frisian"
"back_n",93,"German"
"back_n",93,"Germanic"
"back_n",93,"Indo-European"
"back_n",93,"Italian"
"back_n",93,"Polish"
"back_n",93,"Russian"
"back_n",93,"Spanish"
"again_adv",1048,"Danish"
"again_adv",1048,"Old English"
"again_adv",1048,"Frisian"
"again_adv",1048,"German"
"again_adv",1048,"Old High German"
"again_adv",1048,"Germanic"
"again_adv",1048,"Old Norse"
"since_adv",8,"Old English"
"since_conj",197,"Old English"
"since_prep",75,"Old English"
"tell_n",9,"Akkadian"
"tell_n",9,"Arabic"
"tell_n",9,"Hebrew"
"tell_v",492,"Danish"
"tell_v",492,"Dutch"
"tell_v",492,"Middle Dutch"
"tell_v",492,"Old English"
"tell_v",492,"French"
"tell_v",492,"Frisian"
"tell_v",492,"German"
"tell_v",492,"Old High German"
"tell_v",492,"Germanic"
"tell_v",492,"Hebrew"
"tell_v",492,"Italian"
"tell_v",492,"Old Norse"
"tell_v",492,"Spanish"
"journey_n",171,"Middle English"
"journey_n",171,"French"
"journey_n",171,"Old French"
"journey_n",171,"Italian"
"journey_n",171,"Latin"
"journey_n",171,"Spanish"
"journey_v",30,"French"
"journey_v",30,"Old French"
"into_prep",1124,"Old English"
"return_n",42,"French"
"return_n",42,"Old French"
"return_n",42,"Latin"
"return_v",247,"French"
"return_v",247,"Old French"
"return_v",247,"Latin"
"adventure_n",23,"French"
"adventure_n",23,"Old French"
"adventure_n",23,"German"
"adventure_n",23,"Latin"
"adventure_v",2,"French"
"adventure_v",2,"Old French"
"which_pron",493,"Dutch"
"which_pron",493,"Middle Dutch"
"which_pron",493,"Middle English"
"which_pron",493,"Old English"
"which_pron",493,"Frisian"
"which_pron",493,"German"
"which_pron",493,"Old High German"
"which_pron",493,"Germanic"
"which_pron",493,"Gothic"
"which_pron",493,"Old Norse"
"which_pron",493,"Swedish"
"later_adj",10,"Old English"
"later_adv",67,"Old English"
"involve_v",1,"French"
"involve_v",1,"Old French"
"involve_v",1,"Latin"
"great_adj",1146,"Dutch"
"great_adj",1146,"Middle English"
"great_adj",1146,"Old English"
"great_adj",1146,"Frisian"
"great_adj",1146,"German"
"great_adj",1146,"Germanic"
"great_adj",1146,"North American Indian"
"great_adj",1146,"Ojibwa"
"event_n",32,"French"
"event_n",32,"Latin"
"age_n",64,"Old English"
"age_n",64,"French"
"age_n",64,"Old French"
"age_n",64,"Italian"
"age_n",64,"Latin"
"age_n",64,"Portuguese"
"age_n",64,"Spanish"
"here_adv",798,"Dutch"
"here_adv",798,"Middle Dutch"
"here_adv",798,"Old English"
"here_adv",798,"German"
"here_adv",798,"Old High German"
"here_adv",798,"Germanic"
"here_adv",798,"Gothic"
"here_adv",798,"Old Norse"
"here_adv",798,"Swedish"
"many_adj",824,"Dutch"
"many_adj",824,"Middle English"
"many_adj",824,"Old English"
"many_adj",824,"Finnish"
"many_adj",824,"Frisian"
"many_adj",824,"German"
"many_adj",824,"Old High German"
"many_adj",824,"Germanic"
"many_adj",824,"Gothic"
"many_adj",824,"Irish"
"many_adj",824,"Old Irish"
"many_adj",824,"Church Slavonic"
"many_adj",824,"Old Church Slavonic"
"many_adj",824,"Swedish"
"many_adj",824,"Welsh"
"many_n",1,"Old English"
"many_n",1,"German"
"many_n",1,"Old High German"
"many_n",1,"Germanic"
"many_n",1,"Gothic"
"wish_n",18,"Dutch"
"wish_n",18,"Middle Dutch"
"wish_n",18,"German"
"wish_n",18,"Old High German"
"wish_n",18,"Old Norse"
"wish_v",288,"Danish"
"wish_v",288,"Dutch"
"wish_v",288,"Middle Dutch"
"wish_v",288,"Old English"
"wish_v",288,"German"
"wish_v",288,"Old High German"
"wish_v",288,"Germanic"
"wish_v",288,"Old Norse"
"wish_v",288,"Swedish"
"know_v",1118,"Old English"
"know_v",1118,"French"
"know_v",1118,"German"
"know_v",1118,"Old High German"
"know_v",1118,"Germanic"
"know_v",1118,"Latin"
"know_v",1118,"Church Slavonic"
"know_v",1118,"Old Church Slavonic"
"more_adj",588,"Avestan"
"more_adj",588,"Dutch"
"more_adj",588,"Middle Dutch"
"more_adj",588,"Middle English"
"more_adj",588,"Old English"
"more_adj",588,"Frisian"
"more_adj",588,"German"
"more_adj",588,"Old High German"
"more_adj",588,"Germanic"
"more_adj",588,"Gothic"
"more_adj",588,"Greek"
"more_adj",588,"Irish"
"more_adj",588,"Old Irish"
"more_adj",588,"Old Norse"
"more_adj",588,"Welsh"
"about_adv",195,"Middle English"
"about_adv",195,"Old English"
"about_prep",640,"Middle English"
"about_prep",640,"Old English"
"remarkable_adj",7,"French"
"people_n",200,"Arabic"
"people_n",200,"French"
"people_n",200,"Old French"
"people_n",200,"Italian"
"people_n",200,"Latin"
"people_n",200,"Spanish"
"people_v",1,"French"
"people_v",1,"Old French"
"while_n",240,"Middle English"
"while_n",240,"Old English"
"while_n",240,"Frisian"
"while_n",240,"German"
"while_n",240,"Old High German"
"while_n",240,"Germanic"
"while_n",240,"Gothic"
"while_n",240,"Old Norse"
"while_v",1,"Middle English"
"while_v",1,"French"
"while_v",1,"German"
"while_v",1,"Germanic"
"while_v",1,"Latin"
"possess_v",20,"French"
"possess_v",20,"Old French"
"possess_v",20,"Latin"
"for_prep",3125,"Danish"
"for_prep",3125,"Dutch"
"for_prep",3125,"Middle Dutch"
"for_prep",3125,"Middle English"
"for_prep",3125,"Old English"
"for_prep",3125,"Frisian"
"for_prep",3125,"German"
