"Language","Count","Weighted_Count"
"Akkadian",2,13
"Albanian",15,192
"Arabic",25,379
"Aramaic",4,137
"Arawak",1,2
"Armenian",26,3058
"Austronesian",1,3
"Avestan",54,12770
"Basque",2,165
"Berber",1,14
"Breton",31,1685
"Bulgarian",1,14
"Carib",3,5
"Catalan",12,801
"Celtic",64,1911
"Cherokee",1,51
"Chinese",12,1640
"Coptic",3,19
"Cornish",5,143
"Cree",4,29
"Croatian",8,145
"Czech",7,107
"Danish",366,46047
"Delaware",2,51
"Dravidian",2,3
"Dutch",1167,187378
"Flemish",17,643
"Middle Dutch",648,107145
"Egyptian",11,52
"Middle English",1200,149941
"Old English",2337,274531
"Estonian",1,2
"Fang",1,6
"Finnish",16,2184
"Fon",1,1
"French",2298,62434
"Middle French",2,3
"Old French",1868,42904
"Frisian",714,179206
"Ga",118,4260
"Gaelic",21,433
"Georgian",3,51
"German",1867,255419
"Low German",204,5960
"Middle High German",88,7396
"Old High German",960,162000
"Germanic",1455,241302
"Gothic",495,102236
"Greek",491,55518
"Modern Greek",2,128
"Haitian",1,2
"Hawaiian",1,8
"Hebrew",46,1897
"Hindi",3,19
"Hittite",29,12678
"Hungarian",6,138
"Icelandic",16,1183
"Indic",1,10
"Indo-European",77,5874
"Iranian",7,691
"Irish",184,39554
"Middle Irish",28,580
"Old Irish",114,37437
"Italian",320,10541
"Japanese",7,547
"Korean",3,78
"Kru",3,17
"Lao",1,46
"Latin",2352,115381
"Latvian",6,119
"Lithuanian",190,48650
"Macedonian",1,2
"Malay",3,13
"Malayalam",1,2
"Manchu",1,4
"Mandar",1,8
"Manx",1,5
"Maori",1,20
"Mari",9,896
"Mongo",1,4
"Mongolian",1,4
"Nahuatl",1,52
"Neapolitan",1,1
"Old Norse",1019,157987
"North American Indian",3,1372
"Norwegian",51,1702
"Occitan",1,6
"Ojibwa",1,1146
"Church Slavonic",169,51595
"Old Church Slavonic",169,51595
"Ossetian",1,10
"Pali",1,77
"Persian",40,8751
"Old Persian",19,7985
"Phoenician",3,4
"Polish",34,1054
"Portuguese",47,1968
"Provençal",41,652
"Old Provençal",19,214
"Romance",16,692
"Romanian",1,17
"Russian",98,24569
"Sanskrit",189,23972
"Scots",5,659
"Semitic",16,145
"Slavic",38,3358
"Slovak",1,70
"Slovenian",1,27
"Somali",1,10
"Spanish",258,10418
"Swedish",285,30942
"Syriac",1,1
"Tai",1,2
"Tamil",1,2
"Telugu",1,2
"Thai",1,1
"Tibetan",1,6
"Turkish",8,116
"Twi",5,78
"Vai",1,36
"Walloon",3,13
"Welsh",118,6638
"Yiddish",6,647
