"","Akkadian","Albanian","Arabic","Aramaic","Arawak","Armenian","Austronesian","Avestan","Basque","Berber","Breton","Bulgarian","Carib","Catalan","Celtic","Cherokee","Chinese","Church.Slavonic","Coptic","Cornish","Cree","Croatian","Czech","Danish","Delaware","Dravidian","Dutch","Egyptian","Estonian","Fang","Finnish","Flemish","Fon","French","Frisian","Ga","Gaelic","Georgian","German","Germanic","Gothic","Greek","Haitian","Hawaiian","Hebrew","Hindi","Hittite","Hungarian","Icelandic","Indic","Indo.European","Iranian","Irish","Italian","Japanese","Korean","Kru","Lao","Latin","Latvian","Lithuanian","Low.German","Macedonian","Malay","Malayalam","Manchu","Mandar","Manx","Maori","Mari","Middle.Dutch","Middle.English","Middle.French","Middle.High.German","Middle.Irish","Modern.Greek","Mongo","Mongolian","Nahuatl","Neapolitan","North.American.Indian","Norwegian","Occitan","Ojibwa","Old.Church.Slavonic","Old.English","Old.French","Old.High.German","Old.Irish","Old.Norse","Old.Persian","Old.Provençal","Ossetian","Pali","Persian","Phoenician","Polish","Portuguese","Provençal","Romance","Romanian","Russian","Sanskrit","Scots","Semitic","Slavic","Slovak","Slovenian","Somali","Spanish","Swedish","Syriac","Tai","Tamil","Telugu","Thai","Tibetan","Turkish","Twi","Vai","Walloon","Welsh","Yiddish"
"Akkadian",13,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albanian",0,192,25,0,0,29,0,62,0,0,0,0,2,0,4,0,2,89,0,0,0,3,50,1,0,0,167,0,0,0,0,0,0,84,137,28,28,25,183,167,142,171,0,0,39,0,25,3,0,0,80,0,96,62,0,0,6,0,134,52,144,0,0,0,0,0,0,0,0,0,19,31,0,0,0,0,0,0,0,0,0,0,0,0,89,181,27,172,96,152,55,0,0,0,57,0,30,0,0,2,0,138,96,0,25,9,0,0,0,60,11,0,0,0,0,0,0,0,0,0,0,48,0
"Arabic",9,25,379,0,0,25,0,0,0,14,14,14,0,15,0,0,8,40,0,0,0,0,0,9,0,0,48,1,0,0,14,0,0,335,48,41,39,25,89,54,9,63,0,0,36,0,25,9,0,0,45,0,77,247,0,0,0,0,333,0,39,0,0,8,0,0,8,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,6,0,40,77,276,48,43,48,0,0,0,0,14,0,48,9,15,0,0,84,1,0,30,23,0,0,0,289,0,0,0,0,0,0,0,9,0,0,0,68,0
"Aramaic",0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,137,0,0,0,0,13,0,0,14,0,0,130,0,0,6,0,0,0,6,6,14,0,0,0,0,136,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,130,7,0,0,6,0,0,0,6,0,6,0,0,0,0,6,0,0,8,0,0,0,0,13,6,0,0,0,0,0,0,6,0,0,0,6,0
"Arawak",0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
"Armenian",0,29,25,0,0,3058,0,1130,0,0,153,0,0,0,158,0,0,1547,0,0,0,0,0,1462,0,0,2883,0,0,0,0,0,0,151,2831,25,25,26,2930,2925,2428,2140,0,0,26,0,58,0,0,0,395,0,1225,16,131,0,0,0,1908,0,2099,0,0,0,0,0,0,0,0,0,1361,2668,0,0,16,0,0,0,0,0,0,0,0,0,1547,3032,150,2851,1172,2546,0,0,0,0,204,0,230,0,0,0,0,1029,2436,0,26,778,0,0,0,43,998,0,0,0,0,0,0,0,0,0,0,1020,0
"Austronesian",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Avestan",0,62,0,0,0,1130,0,12770,0,0,180,0,0,0,158,0,0,10686,0,0,0,0,0,1240,35,0,12393,0,0,0,0,14,0,3456,6250,23,0,0,12575,12534,12300,8691,0,0,0,0,2128,0,0,0,490,271,4041,200,131,7,0,0,11172,0,6222,89,0,0,0,0,0,0,0,0,5390,6956,0,0,60,0,0,0,0,0,0,0,0,0,10686,12564,223,4422,3977,9364,2492,0,0,0,2782,0,240,0,0,0,0,2170,8393,0,0,14,0,0,0,227,423,0,0,0,0,0,0,0,0,0,0,1159,0
"Basque",0,0,0,0,0,0,0,0,165,0,18,0,0,0,147,0,0,147,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,18,147,18,18,0,165,165,147,0,0,0,0,0,0,0,18,0,0,0,18,0,0,0,0,0,147,0,147,0,0,0,0,0,0,0,0,0,147,147,0,0,0,0,0,0,0,0,0,0,0,0,147,165,18,147,0,165,0,0,0,0,0,0,147,0,0,0,0,147,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"Berber",0,0,14,0,0,0,0,0,0,14,14,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,14,14,14,14,0,14,14,0,14,0,0,0,0,0,0,0,0,14,0,14,14,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,14,14,14,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14,0
