"","Akkadian","Albanian","Arabic","Aramaic","Arawak","Armenian","Austronesian","Avestan","Basque","Berber","Breton","Bulgarian","Carib","Catalan","Celtic","Cherokee","Chinese","Church Slavonic","Coptic","Cornish","Cree","Croatian","Czech","Danish","Delaware","Dravidian","Dutch","Egyptian","Estonian","Fang","Finnish","Flemish","Fon","French","Frisian","Ga","Gaelic","Georgian","German","Germanic","Gothic","Greek","Haitian","Hawaiian","Hebrew","Hindi","Hittite","Hungarian","Icelandic","Indic","Indo-European","Iranian","Irish","Italian","Japanese","Korean","Kru","Lao","Latin","Latvian","Lithuanian","Low German","Macedonian","Malay","Malayalam","Manchu","Mandar","Manx","Maori","Mari","Middle Dutch","Middle English","Middle French","Middle High German","Middle Irish","Modern Greek","Mongo","Mongolian","Nahuatl","Neapolitan","North American Indian","Norwegian","Occitan","Ojibwa","Old Church Slavonic","Old English","Old French","Old High German","Old Irish","Old Norse","Old Persian","Old Provençal","Ossetian","Pali","Persian","Phoenician","Polish","Portuguese","Provençal","Romance","Romanian","Russian","Sanskrit","Scots","Semitic","Slavic","Slovak","Slovenian","Somali","Spanish","Swedish","Syriac","Tai","Tamil","Telugu","Thai","Tibetan","Turkish","Twi","Vai","Walloon","Welsh","Yiddish"
"Akkadian",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albanian",0,15,1,0,0,2,0,2,0,0,0,0,1,0,2,0,1,4,0,0,0,1,1,1,0,0,10,0,0,0,0,0,0,7,4,2,2,1,12,10,6,11,0,0,2,0,1,1,0,0,2,0,4,4,0,0,1,0,12,2,7,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,4,11,5,9,4,6,1,0,0,0,2,0,3,0,0,1,0,7,6,0,1,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,4,0
"Arabic",1,1,25,0,0,1,0,0,0,1,1,1,0,4,0,0,1,3,0,0,0,0,0,1,0,0,4,1,0,0,1,0,0,21,3,4,2,1,8,4,1,8,0,0,4,0,1,1,0,0,3,0,5,12,0,0,0,0,16,0,2,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,3,5,12,3,3,3,0,0,0,0,3,0,3,2,4,0,0,8,1,0,4,2,0,0,0,15,0,0,0,0,0,0,0,2,0,0,0,4,0
"Aramaic",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,2,0,0,3,0,0,2,0,0,1,0,0,0,1,1,3,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0
"Arawak",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Armenian",0,2,1,0,0,26,0,4,0,0,2,0,0,0,2,0,0,9,0,0,0,0,0,5,0,0,14,0,0,0,0,0,0,9,11,1,1,2,16,15,8,17,0,0,2,0,5,0,0,0,4,0,10,1,1,0,0,0,19,0,13,0,0,0,0,0,0,0,0,0,7,12,0,0,1,0,0,0,0,0,0,0,0,0,9,20,8,12,8,12,0,0,0,0,2,0,2,0,0,0,0,5,14,0,2,1,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,8,0
"Austronesian",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Avestan",0,2,0,0,0,4,0,54,0,0,3,0,0,0,2,0,0,31,0,0,0,0,0,15,1,0,40,0,0,0,0,1,0,18,36,2,0,0,47,45,32,38,0,0,0,0,4,0,0,0,6,1,26,4,1,1,0,0,40,0,30,4,0,0,0,0,0,0,0,0,21,19,0,0,4,0,0,0,0,0,0,0,0,0,31,47,7,37,20,42,4,0,0,0,7,0,6,0,0,0,0,15,41,0,0,2,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,18,0
"Basque",0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Berber",0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
