"lemma","custom_pos","Frequency"
"book","n",48
"book","v",1
"be","adj",1
"be","adv",5
"be","n",22
"be","pron",3
"be","v",18050
"largely","adv",5
"concerned","adj",13
"with","conj",91
"with","prep",2953
"with","v",1
"hobbits","n",44
"and","adv",3
"and","conj",19886
"and","n",3
"and","v",12
"from","conj",34
"from","prep",2005
"its","n",1
"its","pron",438
"its","v",2
"page","n",14
"reader","n",2
"may","v",666
"discover","n",1
"discover","v",48
"much","adj",214
"much","adv",236
"of","adv",126
"of","conj",276
"of","interj",23
"of","prep",12552
"they","pron",8878
"character","n",11
"little","adj",505
"little","adv",18
"little","n",58
"history","n",44
"further","adj",57
"further","adv",108
"further","conj",1
"information","n",12
"will","adj",1
"will","adv",2
"will","conj",2
"will","n",61
"will","v",2159
"also","adv",235
"find","n",4
"find","prep",2
"find","v",767
"in","adj",1
"in","adv",126
"in","conj",59
"in","n",3
"in","prep",7035
"in","v",2
"selection","n",5
"that","adv",58
"that","conj",2606
"that","pron",2757
"have","adj",2
"have","n",4
"have","v",6548
"already","adj",4
"already","adv",271
"publish","v",1
"under","adj",1
"under","n",2
"under","prep",487
"under","v",1
"title","n",9
"hobbit","n",717
"story","n",86
"story","v",2
"derive","v",3
"earlier","adj",6
"earlier","adv",2
"chapter","n",13
"compose","v",3
"by","adj",1
"by","adv",11
"by","conj",32
"by","n",1
"by","prep",1293
"by","v",7
"himself","pron",410
"first","adj",161
"first","adv",259
"first","n",8
"become","adj",1
"become","n",1
"become","v",237
"famous","adj",6
"world","n",242
"at","adv",388
"at","conj",21
"at","prep",2630
"at","v",1
"large","adj",120
"call","n",57
"call","v",379
"he","adv",1
"he","n",1
"he","pron",14827
"there","adv",777
"there","pron",1897
"back","adj",3
"back","adv",874
"back","n",93
"back","prep",23
"back","v",11
"again","adv",1048
"since","adv",8
"since","conj",197
"since","prep",75
"tell","interj",1
"tell","n",9
"tell","v",492
"journey","interj",1
"journey","n",171
"journey","v",30
"into","conj",7
"into","prep",1124
"return","n",42
"return","v",247
"adventure","n",23
"adventure","v",2
"which","pron",493
"later","adj",10
"later","adv",67
"involve","v",1
"great","adj",1146
"great","n",1
"great","v",2
"event","n",32
"age","n",64
"age","v",2
"here","adv",798
"here","pron",1
"here","v",1
"related","adj",5
"many","adj",824
"many","n",1
"however","adv",52
"wish","interj",2
"wish","n",18
"wish","v",288
"know","adj",8
"know","interj",1
"know","n",4
"know","v",1118
"more","adj",588
"more","adv",519
"about","adj",7
"about","adv",195
"about","conj",15
"about","prep",640
"remarkable","adj",7
"people","n",200
"people","v",1
"outset","n",1
"while","conj",324
"while","n",240
"while","v",1
"possess","adv",1
"possess","v",20
"for","conj",432
"for","n",2
"for","prep",3125
"for","v",14
"such","adj",237
"such","n",2
"few","adj",249
"few","n",5
"few","v",3
"note","n",29
"note","v",6
"on","adj",1
"on","adv",225
"on","conj",52
"on","prep",2747
"on","v",1
"important","adj",35
"point","n",102
"point","v",52
"collect","v",9
"lore","adj",2
"lore","adv",2
"lore","n",45
"brieinitely","adv",1
"recal","v",5
"unobtrusive","adj",1
"but","adj",1
"but","adv",6
"but","conj",4599
"but","prep",13
"very","adj",79
"very","adv",517
"very","n",1
"ancient","adj",88
"numerous","adj",8
"formerly","adv",2
"than","adv",1
"than","conj",196
"than","prep",619
"today","n",45
"love","adj",1
"love","n",35
"love","v",82
"peace","n",99
"quiet","adj",45
"quiet","n",29
"quiet","v",1
"good","adj",483
"good","interj",7
"good","n",22
"tilled","v",1
"earth","conj",1
"earth","n",117
"well","adj",28
"well","adv",341
"well","interj",355
"well","n",13
"well","v",10
"order","n",75
"order","v",33
"farmed","v",1
"countryside","n",3
"favourite","adj",10
"favourite","n",1
"haunt","adj",1
"haunt","n",3
"haunt","v",7
"do","adj",3
"do","n",4
"do","prep",3
"do","v",3042
"understand","adj",1
"understand","adv",1
"understand","n",1
"understand","v",134
"or","adj",1
"or","adv",4
"or","conj",1757
"or","interj",6
"or","n",214
"or","prep",2
"or","v",12
"like","adj",17
"like","conj",88
"like","interj",15
"like","n",3
"like","prep",849
"like","v",177
"machine","n",2
"complicated","adj",1
"forge","n",6
"forge","v",5
"bellow","n",3
"bellow","v",3
"water-mill","n",1
"hand","n",742
"hand","v",26
"loom","n",1
"loom","v",60
"though","adv",68
"though","conj",399
"skilful","adj",4
"tool","n",8
"even","adj",1
"even","adv",676
"even","n",3
"even","v",3
"day","adv",1
"day","n",815
"as","adv",483
"as","conj",2145
"as","n",4
"as","prep",794
"as","v",11
"rule","n",29
"rule","v",25
"shy","adj",2
"shy","n",1
"we","n",7
"we","pron",4237
"we","v",12
"now","adv",2124
"avoid","v",22
"dismay","n",29
"dismay","v",8
"hard","adj",120
"hard","adv",37
"hard","n",1
"quick","adj",58
"quick","adv",16
"quick","n",2
"hear","adj",6
"hear","adv",2
"hear","n",4
"hear","prep",1
"hear","v",719
"sharp","adj",44
"sharp","adv",1
"sharp","n",2
"eye","adj",4
"eye","n",660
"eye","pron",2
"eye","v",12
"inclin","adj",2
"inclin","v",1
"fat","adj",10
"fat","conj",1
"fat","n",5
"hurry","n",22
"hurry","v",36
"unnecessarily","adv",2
"nonetheless","adj",1
"nonetheless","adv",24
"nonetheless","conj",6
"nimble","adj",4
"deave","adj",1
"movement","n",26
"art","n",27
"disappearing","v",1
"swiftly","adj",1
"swiftly","adv",108
"silently","adv",33
"when","adv",1024
"folk","adj",1
"folk","adv",2
"folk","n",302
"folk","v",17
"whom","pron",66
"whom","v",5
"meet","n",6
"meet","v",181
"come","adj",1
"come","interj",50
"come","n",13
"come","v",2726
"blundere","n",1
"blundere","v",2
"this","adv",2
"this","pron",476
"develop","v",2
"until","adv",3
"until","conj",231
"until","prep",110
"to","adv",3
"to","conj",33
"to","n",2
"to","prep",4641
"to","v",8
"it","conj",2
"it","pron",6764
"it","v",3
"seem","v",881
"magical","adj",3
"never","adv",357
"never","interj",2
"fact","n",46
"study","adj",1
"study","n",10
"study","v",12
"magic","adj",1
"magic","n",17
"kind","adj",11
"kind","adv",5
"kind","n",74
"kind","v",12
"elusiveness","n",1
"due","adj",9
"due","prep",14
"solely","adv",2
"professional","adj",1
"skill","adj",2
"skill","n",36
"skill","v",3
"heredity","n",1
"practice","n",2
"close","adj",109
"close","adv",22
"close","n",8
"close","v",84
"friendship","n",35
"render","v",5
"inimitable","adj",1
"bigger","adj",10
"bigger","adv",1
"clumsier","adj",1
"race","n",32
"race","v",2
"smaller","adj",21
"dwarves","n",24
"less","adj",77
"less","adv",90
"tout","n",1
"stocky","n",1
"actually","adv",25
"shorter","n",10
"height","n",59
"variable","adj",1
"range","n",21
"range","v",2
"between","adv",6
"between","n",1
"between","prep",259
"foot","n",474
"foot","v",11
"measure","n",14
"measure","v",10
"seldom","adv",54
"seldom","n",8
"seldom","v",8
"reach","n",21
"reach","v",169
"hive","n",1
"hive","v",1
"dwindle","n",2
"dwindle","v",14
"say","interj",8
"say","n",5
"say","v",4741
"taller","adj",20
"accord","n",3
"accord","v",25
"son","n",205
"able","adj",41
"ride","adj",2
"ride","adv",5
"ride","n",35
"ride","prep",3
"ride","v",410
"horse","adj",3
"horse","n",287
"horse","v",2
"surpass","v",7
"record","n",11
"record","v",4
"only","adj",61
"only","adv",691
"old","adj",641
"old","v",1
"curiious","adj",7
"matter","adv",2
"matter","n",102
"matter","v",9
"deal","n",51
"deal","v",49
"tales","n",17
"prosperity","n",1
"merry","adj",14
"merry","adv",1
"merry","interj",1
"merry","n",30
"merry","v",5
"dress","n",1
"dress","v",9
"bright","adj",120
"bright","adv",1
"bright","n",1
"bright","v",1
"colour","n",26
"notably","adv",1
"fond","adj",1
"fond","adv",1
"fond","prep",15
"yellow","adj",57
"yellow","n",2
"green","adj",219
"green","n",44
"green","v",4
"wear","adj",16
"wear","adv",1
"wear","n",9
"wear","v",69
"shoe","n",5
"shoe","v",2
"tough","adj",12
"tough","conj",1
"leathery","n",1
"soles","n",1
"clad","adj",5
"clad","adv",2
"clad","n",36
"clad","v",35
"thick","adj",62
"thick","n",1
"curling","n",5
"curling","v",2
"hair","adj",1
"hair","n",92
"hair","v",2
"head","n",407
"head","v",5
"commonly","adv",2
"brown","adj",40
"brown","n",7
"brown","prep",2
"brown","v",6
"thus","adv",57
"craft","n",27
"practise","v",3
"among","adv",1
"among","n",1
"among","prep",245
"make","n",9
"make","v",804
"long","adj",605
"long","adv",521
"long","n",2
"long","prep",1
"long","v",9
"finger","adj",1
"finger","n",101
"finger","v",17
"could","adj",4
"could","n",1
"could","v",1190
"other","adj",503
"other","n",286
"useful","adj",23
"comely","adj",1
"thing","adj",10
"thing","n",664
"thing","prep",1
"face","adj",3
"face","conj",1
"face","n",371
"face","v",50
"nature","n",2
"nature","v",1
"rather","adv",109
"rather","prep",15
"beautiful","adj",56
"broad","adj",59
"broad","v",2
"red","adj",140
"red","adv",13
"red","n",3
"red","v",27
"cheek","n",11
"cheek","v",1
"mouths","n",4
"apt","adj",1
"apt","v",4
"laughter","n",30
"eat","adj",2
"eat","n",4
"eat","v",136
"drink","adj",4
"drink","n",48
"drink","v",55
"laugh","conj",1
"laugh","n",16
"laugh","v",183
"often","adv",130
"often","v",4
"heartily","adv",1
"simple","adj",17
"simple","n",1
"jest","adj",3
"jest","n",10
"jest","v",1
"time","adv",1
"time","n",809
"time","v",3
"meal","adj",1
"meal","n",44
"meal","v",1
"get","n",2
"get","v",779
"hospitable","adj",1
"delighte","adj",7
"delighte","v",2
"party","n",48
"present","adj",50
"present","n",37
"present","v",11
"give","adj",2
"give","n",1
"give","v",513
"away","adj",1
"away","adv",926
"away","interj",3
"away","prep",17
"away","v",2
"freely","adv",9
"eagerly","adv",12
"accept","v",18
"plain","adj",49
"plain","adv",3
"plain","n",83
"plain","v",12
"indeed","adv",284
"indeed","n",10
"indeed","v",49
"spite","n",20
"estrangement","n",2
"relative","n",4
"ours","n",2
"ours","pron",10
"far","adj",70
"far","adv",741
"far","v",3
"nearer","adj",19
"nearer","adv",38
"nearer","n",11
"nearer","prep",9
"nearer","v",2
"speak","adj",1
"speak","n",12
"speak","v",565
"language","n",40
"after","adv",41
"after","conj",113
"after","prep",360
"own","adj",384
"own","prep",1
"own","v",2
"fashion","n",40
"dislike","adj",2
"dislike","interj",1
"dislike","n",1
"dislike","v",6
"same","adj",140
"what","pron",1214
"exactly","adv",8
"relationship","n",2
"can","n",1
"can","v",1093
"no","adv",367
"no","interj",277
"no","n",5
"no","v",1
"longer","adj",8
"longer","adv",174
"beginning","n",23
"beginning","v",2
"lie","n",25
"lie","v",262
"elder","adj",4
"elder","n",9
"lose","adj",10
"lose","v",160
"forgote","adj",1
"forgote","v",17
"elves","n",48
"elves","pron",11
"elves","v",1
"still","adv",880
"still","conj",12
"still","n",1
"still","prep",4
"still","v",4
"preserve","adj",1
"preserve","v",15
"vanished","adj",3
"vanished","v",6
"tradition","n",5
"almost","adv",206
"entirely","adv",4
"appear","adv",1
"appear","n",2
"appear","v",86
"mention","n",6
"mention","v",18
"all","adj",1
"all","adv",458
"all","n",3
"all","v",1
"yet","adj",1
"yet","adv",450
"yet","conj",313
"yet","n",1
"yet","v",2
"clear","adj",216
"clear","adv",2
"clear","v",26
"live","adj",5
"live","adv",1
"live","n",20
"live","v",136
"quietly","adv",54
"year","n",284
"year","v",2
"before","adv",225
"before","conj",348
"before","prep",418
"aware","adj",73
"full","adj",145
"strange","adj",192
"strange","n",14
"strange","v",3
"creature","n",93
"creature","v",1
"beyond","adj",1
"beyond","adv",27
"beyond","conj",20
"beyond","n",1
"beyond","prep",309
"beyond","v",3
"count","n",23
"count","v",36
"importance","n",6
"frodue","prep",14
"frodue","v",5
"heir","n",47
"suddenly","adj",1
"suddenly","adv",419
"both","adv",19
"both","conj",99
"renowned","adj",3
"trouble","adj",25
"trouble","n",78
"trouble","v",45
"counsels","n",9
"past","adj",21
"past","n",15
"past","prep",29
"past","v",1
"shape","adj",1
"shape","n",105
"shape","v",19
"land","n",449
"land","v",6
"change","n",53
"change","v",97
"region","n",25
"then","adv",1684
"then","pron",2
"were","adv",2
"were","v",7
"doubtless","adj",3
"doubtless","adv",6
"doubtless","conj",5
"doubtless","n",1
"doubtless","v",1
"those","pron",202
"those","v",1
"linger","adv",2
"linger","n",1
"linger","v",18
"east","adj",32
"east","adv",71
"east","n",41
"east","v",2
"sea","n",117
"original","adj",7
"home","adv",46
"home","n",96
"home","v",1
"knowledge","adj",2
"knowledge","n",27
"learning","n",3
"learning","v",1
"genealogical","adj",2
"general","adj",6
"general","n",1
"remain","adj",1
"remain","n",3
"remain","v",156
"older","adj",32
"family","n",42
"who","pron",539
"gather","adj",1
"gather","adv",1
"gather","n",3
"gather","v",139
"report","n",13
"report","v",38
"distant","adj",55
"distant","n",5
"lands","n",111
"lands","v",1
"begin","n",6
"begin","v",405
"settlement","n",3
"most","adj",119
"most","adv",93
"legend","n",40
"hardly","adv",94
"look","n",80
"look","v",1156
"wandering","n",5
"wandering","v",1
"evidence","n",4
"peculiar","adj",5
"peculiar","n",4
"word","n",413
"custom","adj",1
"custom","n",22
"move","n",24
"move","v",227
"westward","adj",8
"westward","adv",33
"westward","conj",9
"westward","n",22
"westward","prep",2
"westward","v",5
"earliest","adj",1
"glimpse","n",33
"glimpse","v",11
"dwelt","adj",2
"dwelt","adv",2
"dwelt","n",9
"dwelt","v",42
"upper","adj",24
"vale","adj",1
"vale","n",33
"eave","n",23
"why","adv",249
"undertake","v",3
"perilous","adj",34
"perilous","adv",3
"perilous","prep",1
"crossing","n",16
"crossing","v",1
"mountain","n",309
"certain","adj",34
"account","n",46
"account","v",9
"multiplying","n",1
"shadow","adj",6
"shadow","adv",1
"shadow","interj",1
"shadow","n",383
"shadow","v",5
"fall","interj",1
"fall","n",151
"fall","v",513
"forest","n",101
"so","adv",1212
"so","conj",81
"so","interj",14
"so","v",3
"darkened","adj",1
"new","adj",171
"name","n",268
"name","v",49
"divide","adj",1
"divide","n",2
"divide","v",14
"somewhat","adv",19
"somewhat","pron",1
"different","adj",40
"breed","n",7
"breed","v",9
"harfoots","n",2
"stoors","n",2
"browner","prep",1
"skin","n",24
"skin","v",3
"beardless","adj",1
"bootless","adj",2
"neat","adj",6
"prefer","v",8
"highland","n",7
"hillside","adj",1
"hillside","n",11
"hillside","v",1
"broader","adj",8
"broader","n",3
"heavier","adj",11
"build","n",3
"build","v",65
"larger","adj",21
"larger","n",1
"flat","adj",47
"flat","adv",7
"flat","conj",1
"flat","n",8
"riverside","n",1
"fairer","adj",3
"fairer","adv",1
"fairer","n",2
"fairer","prep",1
"fairer","v",2
"slimmer","adj",1
"lover","n",3
"tree","n",606
"tree","v",2
"woodland","n",20
"foothill","n",7
"early","adj",37
